key,zh_TW,en
appSettings.fingerprint.unavailable,此裝置目前無法使用生物辨識。,Biometric authentication is not available on this device.
appSettings.fingerprint.systemPrompt,請驗證身分以開啟 trace。,Authenticate to open trace.
appSettings.fingerprint.lockTitle,需要指紋辨識,Biometric authentication required
appSettings.fingerprint.lockSubtitle,請先完成指紋辨識以繼續使用。,Use biometric authentication to continue.
appSettings.fingerprint.lockChecking,正在確認身分，請稍候。,Checking your identity.
appSettings.fingerprint.lockRetry,再試一次,Try again
appSettings.fingerprint.lockError,驗證未完成，請再試一次。,Authentication did not complete. Try again.
appSettings.fingerprint.turnOff,關閉指紋辨識,Turn off biometric lock
appSettings.fingerprint.recheckFrequency.title,重新驗證頻率,Re-authentication frequency
appSettings.fingerprint.recheckFrequency.subtitle,選擇在多久後重新要求指紋驗證。,Choose when to ask for fingerprint verification again.
appSettings.fingerprint.recheckFrequency.summary,目前可選 15 分鐘、30 分鐘，或下次開啟 app。,Available choices: 15 minutes, 30 minutes, or next app open.
appSettings.fingerprint.recheckFrequency.15m,15 分鐘後,After 15 minutes
appSettings.fingerprint.recheckFrequency.15mHint,適合短時間離開後返回。,Good for returning after a short break.
appSettings.fingerprint.recheckFrequency.30m,30 分鐘後,After 30 minutes
appSettings.fingerprint.recheckFrequency.30mHint,適合較長的暫離情境。,Good for a longer pause away.
appSettings.fingerprint.recheckFrequency.nextOpen,下次開啟 app 時,Next time the app opens
appSettings.fingerprint.recheckFrequency.nextOpenHint,每次重新打開都要驗證一次。,Require verification every time the app is reopened.
time.todayAt,今天 {time},Today {time}
time.tomorrowAt,明天 {time},Tomorrow {time}
time.yesterdayAt,昨天 {time},Yesterday {time}
time.inMinutes,{count}分鐘後,in {count} min
time.inHours,{count}小時後,in {count} hr
time.minutesAgo,{count}分鐘前,{count} min ago
time.hoursAgo,{count}小時前,{count} hr ago
messages.todoTitle,代辦事項,To-do
messages.newMessage,新增訊息,New message
messages.addFriend.title,新增朋友,Add friend
messages.addFriend.create,建立,Create
messages.addFriend.nameLabel,姓名,Name
messages.addFriend.avatarColorLabel,頭像顏色,Avatar color
messages.searchHint,搜尋訊息,Search messages
messages.tabs.all,全部,All
messages.tabs.unread,未讀,Unread
messages.tabs.groups,群組,Groups
messages.people.cardPreview,點一下查看這個人的待辦清單。,Tap to open this person's to-do list.
messages.people.empty,還沒有朋友，點右下角新增第一位。,No friends yet. Add your first one from the button.
messages.people.noSearchResult,找不到符合搜尋的人。,No matching people found.
messages.people.loadError,讀取朋友資料失敗。,Unable to load people.
database.title,資料庫,Database
database.subtitle,快速查看目前本機資料庫中的人物與待辦統計。,Quickly review the people and to-do totals stored in the local database.
database.loadError,讀取資料庫摘要失敗。,Unable to load the database summary.
database.metrics.people,人物數,People
database.metrics.todos,待辦總數,Total to-dos
database.metrics.openTodos,未完成待辦,Open to-dos
database.metrics.completedTodos,已完成待辦,Completed to-dos
personTodo.noteTitle,人物備註,Person note
personTodo.noteEmpty,還沒有記錄這個人的備註。,No note has been recorded for this person yet.
personTodo.noteFallback,"{name} 的個人備註尚未建立，最後更新時間是 {date}。","A detailed note for {name} has not been added yet. Last updated on {date}."
personTodo.avatar.title,人物頭像,Person avatar
personTodo.avatar.subtitle,選擇、更新或移除這個人的頭像圖片。,Choose, update, or remove this person's avatar image.
personTodo.avatar.none,尚未設定圖片。,No image selected yet.
personTodo.avatar.selected,已設定圖片,Image selected
personTodo.avatar.select,選擇圖片,Choose image
personTodo.avatar.change,更換圖片,Change image
personTodo.avatar.remove,移除圖片,Remove image
personTodo.tabs.todoList,待辦清單,To-do list
personTodo.tabs.database,資料庫,Database
personTodo.database.title,個人資料庫,Personal database
personTodo.database.addField,選擇屬性,Choose property
personTodo.database.emptyTitle,還沒有屬性,No properties yet
personTodo.database.emptyBody,從屬性庫選擇或建立屬性，開始記錄這個人的資料與情境資訊。,Choose or create a property from the library to start storing this person's context.
personTodo.database.loadError,讀取個人資料庫失敗。,Unable to load the personal database.
personTodo.database.type.string,字串,String
personTodo.database.type.number,數字,Number
personTodo.database.type.boolean,布林,Boolean
personTodo.database.type.object,物件,Object
personTodo.database.type.list,陣列,List
personTodo.database.type.null,空值,Null
personTodo.database.fieldType.string,字串,String
personTodo.database.fieldType.number,數字,Number
personTodo.database.fieldType.boolean,布林,Boolean
personTodo.database.fieldType.object,物件,Object
personTodo.database.fieldType.list,陣列,List
personTodo.database.fieldType.null,空值,Null
personTodo.database.action.addChild,新增子屬性,Add child property
personTodo.database.action.edit,編輯,Edit
personTodo.database.action.delete,刪除,Delete
personTodo.database.menu.more,更多操作,More actions
personTodo.database.actionError,個人資料庫更新失敗。,Unable to update the personal database.
personTodo.database.deleteDialog.title,刪除屬性,Delete property
personTodo.database.deleteDialog.body,確定要刪除屬性「{key}」嗎？,Delete property "{key}"?
personTodo.database.deleteDialog.cancel,取消,Cancel
personTodo.database.deleteDialog.delete,刪除,Delete
personTodo.database.removeDialog.title,移除此屬性,Remove property
personTodo.database.removeDialog.body,要把屬性「{key}」從這個人的資料中移除嗎？,Remove property "{key}" from this person?
personTodo.database.removeDialog.cancel,取消,Cancel
personTodo.database.removeDialog.remove,移除,Remove
personTodo.database.sheet.addTitle,建立屬性,Create property
personTodo.database.sheet.createTitle,建立屬性,Create property
personTodo.database.sheet.create,建立,Create
personTodo.database.sheet.editTitle,編輯屬性,Edit property
personTodo.database.sheet.update,更新,Update
personTodo.database.sheet.addChildTitle,新增子屬性,Add child property
personTodo.database.sheet.key,Key,Key
personTodo.database.sheet.value,Value,Value
personTodo.database.sheet.type,Type,Type
personTodo.database.sheet.save,儲存,Save
personTodo.database.sheet.boolTrue,true,true
personTodo.database.sheet.boolFalse,false,false
personTodo.database.sheet.nullValue,此欄位值為 null。,This field value is null.
personTodo.database.sheet.objectHint,Object 內容請用新增子屬性管理。,Use add child property to manage object entries.
personTodo.database.sheet.keyRequired,請輸入 key。,Key is required.
personTodo.database.sheet.invalidNumber,數字格式不正確。,Invalid number format.
personTodo.database.sheet.invalidObject,請輸入有效的 JSON object。,Enter a valid JSON object.
personTodo.database.sheet.invalidList,請輸入有效的 JSON list。,Enter a valid JSON list.
personTodo.propertyChooser.title,選擇屬性,Choose property
personTodo.propertyChooser.subtitle,從屬性庫挑選一個要加入這個人的項目，或建立新的屬性。,Pick a property from the library, or create a new one.
personTodo.propertyChooser.searchHint,搜尋屬性,Search properties
personTodo.propertyChooser.libraryLabel,屬性庫,Property library
personTodo.propertyChooser.createNew,建立新屬性,Create new property
personTodo.propertyChooser.createNewTitle,建立新屬性,Create new property
personTodo.propertyChooser.emptyTitle,尚未有屬性,No properties yet
personTodo.propertyChooser.emptyBody,先建立第一個屬性，之後就能重複加入不同人物。,Create the first property and reuse it across people.
personTodo.propertyChooser.added,已加入此人,Added
personTodo.menu.more,更多操作,More actions
personTodo.menu.renamePerson,重新命名人物,Rename person
personTodo.menu.deletePerson,刪除人物,Delete person
personTodo.renameDialog.nameLabel,人物名稱,Person name
personTodo.deleteDialog.message,確定要刪除「{name}」嗎？這個人的待辦與資料也會一起刪除。,Delete "{name}"? This person's todos and data will also be removed.
personTodo.dialog.cancel,取消,Cancel
personTodo.dialog.save,儲存,Save
personTodo.completed.title,已完成,Completed
personTodo.todoTitle,待辦清單,To-do list
personTodo.todoEmpty,目前還沒有待辦事項。,There are no to-dos yet.
personTodo.todoLoadError,讀取待辦清單失敗。,Unable to load the to-do list.
personTodo.personLoadError,讀取人物資料失敗。,Unable to load this person.
personTodo.personMissing,找不到這個人物資料。,This person could not be found.
personTodo.addTodo.titleHint,新增待辦事項,Add a new task
personTodo.addTodo.noteHint,新增備註,Add note
personTodo.addTodo.save,儲存,Save
personTodo.addTodo.update,更新,Update
personTodo.peoplePicker.title,選擇參與者,Choose people
personTodo.peoplePicker.done,Done,Done
messages.sample.mayaPreview,線框稿已完成，我也補上更新後的 onboarding 流程。,Wireframes are ready. I also added the updated onboarding flow.
messages.sample.productTeamPreview,"Sprint review 改到下午 3:30，請先確認議程。","Sprint review moved to 3:30 PM. Please check the agenda."
messages.sample.alexPreview,API 規格看起來沒問題，我午餐後會把修補版送出。,The API contract looks good. Shipping the patch after lunch.
messages.sample.familyPreview,這週五去阿嬤家吃晚餐，別遲到。,Dinner at grandma's place this Friday. Don't be late.
messages.sample.designPreview,新的字級系統很不錯，我們應該再把空狀態簡化。,Loved the new type scale. We should simplify the empty state.
